country,iso3,year,electricity_source,is_aggregated_source,generation_twh,share_generation_pct,emissions_mtco2e,emissions_intensity_gco2e_kwh
Brazil,BRA,2015,Coal,False,26.98,4.642,23.519,871.72
Brazil,BRA,2015,Demand,True,615.64,105.922,,
Brazil,BRA,2015,Gas,False,79.49,13.676,47.661,599.585
Brazil,BRA,2015,Nuclear,False,14.73,2.534,0.069,4.684
Brazil,BRA,2015,Other fossil,False,28.71,4.94,18.891,657.994
Brazil,BRA,2015,Renewables,True,431.31,74.208,19.5,45.211
Brazil,BRA,2015,Total generation,True,581.22,100.0,109.64,188.638
Brazil,BRA,2016,Coal,False,25.67,4.434,22.377,871.718
Brazil,BRA,2016,Demand,True,619.68,107.046,,
Brazil,BRA,2016,Gas,False,56.48,9.757,33.865,599.593
Brazil,BRA,2016,Nuclear,False,15.86,2.74,0.074,4.666
Brazil,BRA,2016,Other fossil,False,15.06,2.602,9.909,657.968
Brazil,BRA,2016,Renewables,True,465.82,80.468,20.409,43.813
Brazil,BRA,2016,Total generation,True,578.89,100.0,86.634,149.655
Brazil,BRA,2017,Coal,False,22.85,3.877,19.919,871.729
Brazil,BRA,2017,Demand,True,625.67,106.168,,
Brazil,BRA,2017,Gas,False,65.59,11.13,39.327,599.588
Brazil,BRA,2017,Nuclear,False,15.74,2.671,0.073,4.638
Brazil,BRA,2017,Other fossil,False,18.12,3.075,11.923,658.002
Brazil,BRA,2017,Renewables,True,467.02,79.247,20.617,44.146
Brazil,BRA,2017,Total generation,True,589.32,100.0,91.858,155.871
Brazil,BRA,2018,Coal,False,20.8,3.459,18.132,871.731
Brazil,BRA,2018,Demand,True,636.37,105.817,,
Brazil,BRA,2018,Gas,False,54.62,9.082,32.749,599.579
Brazil,BRA,2018,Nuclear,False,15.67,2.606,0.073,4.659
Brazil,BRA,2018,Other fossil,False,15.01,2.496,9.877,658.028
Brazil,BRA,2018,Renewables,True,495.29,82.358,21.536,43.482
Brazil,BRA,2018,Total generation,True,601.39,100.0,82.366,136.959
Brazil,BRA,2019,Coal,False,21.68,3.423,18.899,871.725
Brazil,BRA,2019,Demand,True,658.29,103.941,,
Brazil,BRA,2019,Gas,False,65.96,10.415,39.549,599.591
Brazil,BRA,2019,Nuclear,False,16.13,2.547,0.075,4.65
Brazil,BRA,2019,Other fossil,False,14.12,2.229,9.291,658.003
Brazil,BRA,2019,Renewables,True,515.44,81.386,22.073,42.824
Brazil,BRA,2019,Total generation,True,633.33,100.0,89.887,141.928
Brazil,BRA,2020,Coal,False,17.75,2.823,15.473,871.718
Brazil,BRA,2020,Demand,True,653.48,103.932,,
Brazil,BRA,2020,Gas,False,59.48,9.46,35.663,599.58
Brazil,BRA,2020,Nuclear,False,14.05,2.235,0.065,4.626
Brazil,BRA,2020,Other fossil,False,14.56,2.316,9.58,657.967
Brazil,BRA,2020,Renewables,True,522.92,83.167,23.066,44.11
Brazil,BRA,2020,Total generation,True,628.76,100.0,83.848,133.355
Brazil,BRA,2021,Coal,False,24.24,3.693,21.13,871.7
Brazil,BRA,2021,Demand,True,679.5,103.519,,
Brazil,BRA,2021,Gas,False,86.96,13.248,52.14,599.586
Brazil,BRA,2021,Nuclear,False,14.7,2.239,0.068,4.626
Brazil,BRA,2021,Other fossil,False,22.63,3.448,14.891,658.02
Brazil,BRA,2021,Renewables,True,507.87,77.372,22.081,43.478
Brazil,BRA,2021,Total generation,True,656.4,100.0,110.31,168.053
Brazil,BRA,2022,Coal,False,14.4,2.127,12.553,871.736
Brazil,BRA,2022,Demand,True,690.07,101.906,,
Brazil,BRA,2022,Gas,False,42.11,6.219,25.249,599.596
Brazil,BRA,2022,Nuclear,False,14.56,2.15,0.068,4.67
Brazil,BRA,2022,Other fossil,False,12.2,1.802,8.028,658.033
Brazil,BRA,2022,Renewables,True,593.89,87.703,24.102,40.583
Brazil,BRA,2022,Total generation,True,677.16,100.0,69.998,103.37
Brazil,BRA,2023,Coal,False,13.31,1.88,11.602,871.675
