country,iso3,demand_2015_twh,demand_2025_twh,demand_pct_change,demand_cagr_pct,intensity_2015_gco2e_kwh,intensity_2025_gco2e_kwh,intensity_pct_change,intensity_cagr_pct,intensity_trend_slope_gco2e_kwh_per_year,coal_share_2015_pct,coal_share_2025_pct,coal_pp_change,gas_other_fossil_share_2015_pct,gas_other_fossil_share_2025_pct,gas_other_fossil_pp_change,nuclear_share_2015_pct,nuclear_share_2025_pct,nuclear_pp_change,renewables_share_2015_pct,renewables_share_2025_pct,renewables_pp_change,outcome_quadrant,intensity_endpoint_sensitive,selected_for_trend_chart
China,CHN,5802.14,10558.59,81.97751174566625,6.169988971521856,667.944,526.18,-21.22393494065371,-2.3573790487885327,-12.683418181818537,69.587,54.569,-15.018,3.498,3.844,0.34599999999999964,2.947,4.603,1.6559999999999997,23.968,36.984,13.016000000000002,Demand Up / Intensity Down,False,True
United States,USA,4150.66,4535.995,9.283704278355742,0.891723438562364,504.944,384.403,-23.87215215944738,-2.690698479519349,-12.269945454545681,33.115,16.309,-16.806,33.739000000000004,40.689,6.949999999999996,19.52,17.363,-2.157,13.626,25.638,12.012000000000002,Demand Up / Intensity Down,False,True
India,IND,1310.65,2082.82,58.915042154656085,4.740948097419251,750.845,670.546,-10.694484214451716,-1.1246967903990712,-6.761663636363803,76.803,70.818,-5.984999999999999,5.649,2.529,-3.12,2.923,2.586,-0.3370000000000002,14.625,24.067,9.442,Demand Up / Intensity Down,False,False
Russia,RUS,1055.89,1176.09,11.383761566072215,1.0839462265803679,444.356,449.863,1.2393216250033756,0.12324637604750333,0.2840272727273199,14.852,18.404,3.5519999999999996,51.011,45.913000000000004,-5.097999999999999,18.31,18.33,0.019999999999999574,15.827,17.353,1.5260000000000016,Demand Up / Intensity Up,False,True
Japan,JPN,1030.12,1029.97,-0.014561410321112245,-0.0014562364565096075,578.141,477.376,-17.429139258416193,-1.8969112636441077,-9.930754545454782,33.942,32.051,-1.8909999999999982,50.668000000000006,35.247,-15.421000000000006,0.439,9.135,8.696,14.952,23.567,8.615,Demand Down / Intensity Down,False,True
Brazil,BRA,615.64,763.76,24.059515301150025,2.1793199681273467,188.638,109.833,-41.775782185985854,-5.265020321805958,-7.166927272727349,4.642,2.285,-2.357,18.616,8.974,-9.642,2.534,2.11,-0.42399999999999993,74.208,86.631,12.423000000000002,Demand Up / Intensity Down,False,False
Canada,CAN,601.55,645.63,7.3277366802427135,0.709675614402494,184.456,190.725,3.3986424946870875,0.33477559919818933,0.27947272727282896,9.826,3.993,-5.833,11.039,19.039,8.000000000000002,15.293,13.077,-2.2159999999999993,63.841,63.89,0.04899999999999949,Demand Up / Intensity Up,False,False
South Korea,KOR,547.8,624.66,14.03066812705367,1.321629780079836,487.652,417.128,-14.4619523758746,-1.549951745191569,-9.989527272727804,42.475,31.142,-11.333000000000002,24.673,28.901,4.2280000000000015,30.077,29.563,-0.5140000000000029,2.775,10.394,7.619,Demand Up / Intensity Down,False,False
Germany,DEU,590.89,519.38,-12.102083298075783,-1.2816567450420813,503.592,330.023,-34.466194856153386,-4.137988307452156,-17.25825454545479,42.586,20.635,-21.950999999999997,13.618000000000002,20.321,6.702999999999999,14.361,0.0,-14.361,29.435,59.045,29.610000000000003,Demand Down / Intensity Down,False,False
France,FRA,510.09,476.34,-6.616479444803858,-0.6822152313313179,59.187,41.451,-29.966039839829683,-3.499210047832235,-2.173863636363754,2.071,0.305,-1.7660000000000002,5.746,4.843,-0.9030000000000005,76.187,68.767,-7.420000000000002,15.996,26.085,10.089,Demand Down / Intensity Down,False,False
